FileName,IsNativeEnglish,NumberCharacters,NumberWords,NumberSentences,NumberSyllables,ASW,ASL,FRES,FKGL
.\Data\english (28044).txt,1,1328,214,8,254,1.186915888,26.75,79.27066589,8.848107477
.\Data\Korea  (5880).txt,0,544,91,7,107,1.175824176,13,94.16527473,3.354725275
.\Data\Korea  (3990).txt,0,497,92,9,89,0.967391304,10.22222222,114.6181401,-0.188115942
.\Data\english (27241).txt,1,225,34,2,28,0.823529412,17,119.9094118,0.757647059
.\Data\english (29458).txt,1,243,41,4,44,1.073170732,10.25,105.6410061,1.070914634
.\Data\english (19374).txt,1,445,89,8,91,1.02247191,11.125,109.0420014,0.813918539
.\Data\english (19594).txt,1,565,101,3,116,1.148514851,33.66666667,75.4989769,11.09247525
.\Data\english (21684).txt,1,332,63,7,49,0.777777778,9,131.9,-2.902222222
.\Data\english (30925).txt,1,239,46,3,49,1.065217391,15.33333333,101.1542754,2.959565217
.\Data\english (26309).txt,1,250,48,3,53,1.104166667,16,97.1825,3.679166667
.\Data\english (34436).txt,1,405,61,4,82,1.344262295,15.25,77.63165984,6.219795082
.\Data\Korea  (7680).txt,0,338,56,5,68,1.214285714,11.2,92.73842857,3.106571429
.\Data\english (18260).txt,1,446,75,5,93,1.24,15,86.706,4.892
.\Data\english (30783).txt,1,332,46,3,52,1.130434783,15.33333333,95.63688406,3.729130435
.\Data\english (13262).txt,1,453,72,7,71,0.986111111,10.28571429,112.97,0.057539683
.\Data\Korea  (2384).txt,0,605,107,9,106,0.990654206,11.88888889,110.958432,0.736386293
.\Data\Korea  (7844).txt,0,546,106,10,90,0.849056604,10.6,124.2458113,-1.437132075
.\Data\Korea  (3799).txt,0,660,117,8,147,1.256410256,14.625,85.69831731,4.939391026
.\Data\Korea  (5890).txt,0,654,105,10,138,1.314285714,10.5,84.98892857,4.013571429
.\Data\english (25616).txt,1,584,96,6,128,1.333333333,16,77.795,6.383333333
